LECROYHDO6104A,17988,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,16-Apr-2023 00:22:34,0                 
Time,Ampl
-2.973876e-08,-0.0303
-2.963876e-08,-0.0293875
-2.953876e-08,-0.028475
-2.943876e-08,-0.0276875
-2.933876e-08,-0.0271
-2.923876e-08,-0.0267125
-2.913876e-08,-0.0264375
-2.903876e-08,-0.0261375
-2.893876e-08,-0.0257
-2.883876e-08,-0.0250875
-2.873876e-08,-0.024325
-2.863876e-08,-0.0235
-2.853876e-08,-0.0227
-2.843876e-08,-0.022
-2.833876e-08,-0.0214125
-2.823876e-08,-0.0209125
-2.813876e-08,-0.0205
-2.803876e-08,-0.02015
-2.793876e-08,-0.0198875
-2.783876e-08,-0.019675
-2.773876e-08,-0.0195
-2.763876e-08,-0.0192625
-2.753876e-08,-0.018875
-2.743876e-08,-0.018275
-2.733876e-08,-0.0175
-2.723876e-08,-0.01665
-2.713876e-08,-0.0159125
-2.703876e-08,-0.0154375
-2.693876e-08,-0.0153
-2.683876e-08,-0.015425
-2.673876e-08,-0.0156375
-2.663876e-08,-0.0157125
-2.653876e-08,-0.0155
-2.643876e-08,-0.0149625
-2.633876e-08,-0.0142375
-2.623876e-08,-0.01355
-2.613876e-08,-0.0131
-2.603876e-08,-0.0129875
-2.593876e-08,-0.013175
-2.583876e-08,-0.0134875
-2.573876e-08,-0.0137
-2.563876e-08,-0.01365
-2.553876e-08,-0.0133125
-2.543876e-08,-0.0127375
-2.533876e-08,-0.0121
-2.523876e-08,-0.01155
-2.513876e-08,-0.0112
-2.503876e-08,-0.0110625
-2.493876e-08,-0.0111
-2.483876e-08,-0.0112375
-2.473876e-08,-0.0113875
-2.463876e-08,-0.0115
-2.453876e-08,-0.0115
-2.443876e-08,-0.0113375
-2.433876e-08,-0.0109625
-2.423876e-08,-0.0104
-2.413876e-08,-0.0097
-2.403876e-08,-0.009025
-2.393876e-08,-0.008525
-2.383876e-08,-0.00835
-2.373876e-08,-0.0085
-2.363876e-08,-0.008875
-2.353876e-08,-0.0092375
-2.343876e-08,-0.0093625
-2.333876e-08,-0.0091
-2.323876e-08,-0.008475
-2.313876e-08,-0.00765
-2.303876e-08,-0.006925
-2.293876e-08,-0.0065
-2.283876e-08,-0.0064875
-2.273876e-08,-0.0068125
-2.263876e-08,-0.0072375
-2.253876e-08,-0.0075
-2.243876e-08,-0.007425
-2.233876e-08,-0.007
-2.223876e-08,-0.00635
-2.213876e-08,-0.0057
-2.203876e-08,-0.0052375
-2.193876e-08,-0.005075
-2.183876e-08,-0.0052
-2.173876e-08,-0.0055
-2.163876e-08,-0.0058375
-2.153876e-08,-0.006125
-2.143876e-08,-0.006275
-2.133876e-08,-0.0063
-2.123876e-08,-0.0061875
-2.113876e-08,-0.0059375
-2.103876e-08,-0.0055625
-2.093876e-08,-0.0051
-2.083876e-08,-0.00465
-2.073876e-08,-0.004325
-2.063876e-08,-0.0042625
-2.053876e-08,-0.0045
-2.043876e-08,-0.004975
-2.033876e-08,-0.0055125
-2.023876e-08,-0.005875
-2.013876e-08,-0.0059
-2.003876e-08,-0.0055125
