LECROYHDO6104A,17988,Waveform
Segments,1,SegmentSize,998
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2000 00:00:00,0                 
Time,Ampl
167,0.1719
168,0.08435
169,0.1200363
170,0.1132375
171,0.14235
172,0.109825
173,0.0960375
174,0.1298504
175,0.1696
176,0.2137375
177,0.0731625
178,0.0737875
179,0.29785
180,0.0869875
181,0.1086625
182,0.0916125
183,0.1275875
184,0.1018125
185,0.0873625
186,0.0575375
187,0.0621625
188,0.1016
189,0.080125
190,0.1134375
191,0.1240605
192,0.10685
193,0.1000125
194,0.1287125
195,0.0788625
196,0.2177135
197,0.1134068
198,0.1300399
199,0.102175
200,0.09
201,0.0785625
202,0.0669625
203,0.165175
204,0.0991
205,0.0709625
206,0.0672
207,0.10675
208,0.1109
209,0.0942625
210,0.063125
211,0.0864625
212,0.1428
213,0.1047875
214,0.0661375
215,0.10725
216,0.1284375
217,0.09884328
218,0.0784
219,0.07881701
220,0.0925875
221,0.070775
222,0.1199875
223,0.1205625
224,0.154125
225,0.0874125
226,0.081075
227,0.090875
228,0.10615
229,0.0888125
230,0.13485
231,0.06362426
232,0.1132592
233,0.1397
234,0.0721
235,0.07565
236,0.12265
237,0.07287539
238,0.099925
239,0.114425
240,0.2104125
241,0.0775875
242,0.0983375
243,0.121225
244,0.0850125
245,0.075575
246,0.1014947
247,0.08315
248,0.0855
249,0.0526125
250,0.1553572
251,0.1625375
252,0.153
253,0.094875
254,0.10825
255,0.1496522
256,0.09836477
257,0.08116609
258,0.0999125
259,0.0655625
260,0.1294625
261,0.0804125
262,0.1858
263,0.1179375
264,0.12465
265,0.0730375
266,0.1514375
267,0.08325
268,0.0866
269,0.0732125
270,0.1849625
271,0.1306625
272,0.229575
273,0.07721579
274,0.06312473
275,0.0655125
276,0.0678375
277,0.1209
278,0.106175
279,0.0942375
280,0.1133
281,0.086625
282,0.090775
283,0.0947375
284,0.089675
285,0.1806318
286,0.06735
287,0.20535
288,0.08175
289,0.06373082
290,0.2912562
291,0.1328278
292,0.1255
293,0.096825
294,0.1017592
295,0.1077375
296,0.03992765
297,0.07110894
298,0.247325
299,0.1516335
300,0.1416125
301,0.089225
302,0.073475
303,0.07735
304,0.0662875
305,0.09945
306,0.1020125
307,0.07609379
308,0.129425
309,0.07404726
310,0.0579875
311,0.0914125
312,0.0944
313,0.0943125
314,0.105175
315,0.1290375
316,0.0897875
317,0.089175
318,0.11675
319,0.0799625
320,0.090725
321,0.09485
322,0.213425
323,0.0921125
324,0.06548236
325,0.2588875
326,0.0715098
327,0.070975
328,0.07003204
329,0.13105
330,0.0902
331,0.1652265
332,0.1088924
333,0.1005875
334,0.1052421
335,0.1333
336,0.09445059
337,0.0945625
338,0.1090875
339,0.075825
340,0.412
341,0.197342
342,0.1223625
343,0.1151108
344,0.0746625
345,0.1814125
346,0.07135
347,0.1025482
348,0.0952125
349,0.1273356
350,0.133675
351,0.157275
352,0.0776
353,0.1072
354,0.1248375
355,0.0591125
356,0.1292
357,0.085756
358,0.0915
359,0.109975
360,0.0955625
361,0.09164126
362,0.0774
363,0.1236032
364,0.0789125
365,0.1161375
366,0.0780875
367,0.1102
368,0.099825
369,0.07445
370,0.1022375
371,0.0911
372,0.1206013
373,0.134825
374,0.087925
375,0.1226625
376,0.1085125
377,0.0773375
378,0.1316934
379,0.1054125
380,0.1217373
381,0.1098881
382,0.1050375
383,0.1718125
384,0.0862375
385,0.08005
386,0.09135494
387,0.0958625
388,0.07175
389,0.1321375
390,0.088475
391,0.1027875
392,0.25645
393,0.0424875
394,0.1028625
395,0.08811219
396,0.0701125
397,0.0666375
398,0.1495
399,0.1604625
